model_name,sample_size,transaction_type,inf_time_mean,inf_time_std
decision_tree,1,TRANSFER,0.3,0.07
logreg,1,TRANSFER,0.27,0.02
svc_linear,1,TRANSFER,0.26,0.02
svc_rbf,1,TRANSFER,0.34,0.03
decision_tree,5,TRANSFER,0.27,0.01
logreg,5,TRANSFER,0.28,0.02
svc_linear,5,TRANSFER,0.28,0.01
svc_rbf,5,TRANSFER,1.6,0.21
decision_tree,10,TRANSFER,0.26,0.01
logreg,10,TRANSFER,0.29,0.08
svc_linear,10,TRANSFER,0.27,0.03
svc_rbf,10,TRANSFER,2.95,0.18
decision_tree,25,TRANSFER,0.27,0.01
logreg,25,TRANSFER,0.27,0.01
svc_linear,25,TRANSFER,0.28,0.01
svc_rbf,25,TRANSFER,7.42,0.1
decision_tree,50,TRANSFER,0.28,0.01
logreg,50,TRANSFER,0.27,0.01
svc_linear,50,TRANSFER,0.27,0.0
svc_rbf,50,TRANSFER,14.75,0.13
decision_tree,100,TRANSFER,0.28,0.02
logreg,100,TRANSFER,0.26,0.01
svc_linear,100,TRANSFER,0.26,0.02
svc_rbf,100,TRANSFER,28.12,0.48
