data_set,model_name,transaction_type,class_weight,precision,recall,f1-score,AUPRC,confusion_matrix
TRAIN,logreg,TRANSFER,14,0.8283560452305015,0.9961645746164575,0.904543295868292,0.970617139390883,"[[369575    592]
 [    11   2857]]"
TRAIN,svc_linear,TRANSFER,12,0.7436832508465746,0.9954672245467224,0.8513493365140897,0.9601783642213901,"[[369183    984]
 [    13   2855]]"
TRAIN,svc_rbf,TRANSFER,13,0.7298263534218591,0.9965132496513249,0.8425707547169812,0.9841581036445147,"[[369109   1058]
 [    10   2858]]"
TRAIN,decision_tree,TRANSFER,305,0.6472850678733032,0.9975592747559274,0.785126234906696,0.9914184338255309,"[[368608   1559]
 [     7   2861]]"
VALIDATION,logreg,TRANSFER,14,0.8243243243243243,0.993485342019544,0.9010339734121122,0.9606289344671202,"[[79193   130]
 [    4   610]]"
VALIDATION,svc_linear,TRANSFER,12,0.7420924574209246,0.993485342019544,0.8495821727019499,0.949606556124676,"[[79111   212]
 [    4   610]]"
VALIDATION,svc_rbf,TRANSFER,13,0.7171597633136094,0.9869706840390879,0.8307059629883482,0.9716681952935835,"[[79084   239]
 [    8   606]]"
VALIDATION,decision_tree,TRANSFER,305,0.6308169596690796,0.993485342019544,0.7716635041113219,0.9895623986879121,"[[78966   357]
 [    4   610]]"
TEST,logreg,TRANSFER,14,0.8351498637602179,0.9967479674796748,0.9088213491475167,0.9705685287538536,"[[79201   121]
 [    2   613]]"
TEST,svc_linear,TRANSFER,12,0.748780487804878,0.9983739837398374,0.8557491289198607,0.9585628482573113,"[[79116   206]
 [    1   614]]"
TEST,svc_rbf,TRANSFER,13,0.7009237875288684,0.9869918699186991,0.8197164078325456,0.9747409188021483,"[[79063   259]
 [    8   607]]"
TEST,decision_tree,TRANSFER,305,0.6513859275053305,0.9934959349593496,0.7868641339343206,0.9898117403249143,"[[78995   327]
 [    4   611]]"
